"mnb_date","ccy_name","ccy_full_name","unit","mnb_rate"
"242",2019-11-27,"CZK","Czech Koruna",1,13.17
"243",2019-11-27,"DDM","DDR Mark",100,NA
"244",2019-11-27,"DEM","Deutsche Mark",1,NA
"245",2019-11-27,"DKK","Danish Krone",1,44.96
"246",2019-11-27,"EEK","Estonian kroon",1,NA
"247",2019-11-27,"EGP","Egyptian Pound",1,NA
"248",2019-11-27,"ESP","Spanish Peseta",100,NA
"249",2019-11-27,"EUR","Euro",1,335.91
"250",2019-11-27,"FIM","Finnish Markka",1,NA
"251",2019-11-27,"FRF","French Franc",1,NA
"252",2019-11-27,"GBP","Pound Sterling",1,392.42
"253",2019-11-27,"GHP","Ghana Pound",1,NA
"254",2019-11-27,"GRD","Greek Drachma",100,NA
"255",2019-11-27,"HKD","Hong Kong Dollar",1,38.97
"256",2019-11-27,"HRK","Croatian Kuna",1,45.18
"257",2019-11-27,"HUF","Hungarian forint",1,NA
"258",2019-11-27,"IDR","Indonesian Rupiah",100,2.16
"259",2019-11-27,"IEP","Irish Pound",1,NA
"260",2019-11-27,"ILS","Israeli Shekel",1,88.11
"261",2019-11-27,"INR","Indian Rupee",1,4.28
"262",2019-11-27,"ISK","Icelandic Krona",1,2.48
"263",2019-11-27,"ITL","Italian Lira",1000,NA
"264",2019-11-27,"JPY","Japanese Yen",100,279.47
"265",2019-11-27,"KPW","North Korean Won",100,NA
"266",2019-11-27,"KRW","South Korean Won",100,25.93
"267",2019-11-27,"KWD","Kuwaiti Dinar",1,NA
"268",2019-11-27,"LBP","Lebanese Pound",100,NA
"269",2019-11-27,"LTL","Lithuanian litas",1,NA
"270",2019-11-27,"LUF","Luxembourg Franc",100,NA
"271",2019-11-27,"LVL","Latvian lats",1,NA
"272",2019-11-27,"MNT","Mongolian Tugrik",100,NA
"273",2019-11-27,"MXN","Mexican Peso",1,15.65
"274",2019-11-27,"MYR","Malaysian Ringgit",1,73.13
"275",2019-11-27,"NLG","Netherlands Guilder",1,NA
"276",2019-11-27,"NOK","Norwegian Krone",1,33.28
"277",2019-11-27,"NZD","New Zealand Dollar",1,196.18
"278",2019-11-27,"OAL","Alban Lek",100,NA
"279",2019-11-27,"OBL","Bulgarian Lev",100,NA
"280",2019-11-27,"OFR","French Franc",100,NA
"281",2019-11-27,"ORB","Ruble",100,NA
"282",2019-11-27,"PHP","Philippine Peso",1,6
"283",2019-11-27,"PKR","Pakistan Rupee",100,NA
"284",2019-11-27,"PLN","Polish Zloty",1,77.94
"285",2019-11-27,"PTE","Portuguese Escudo",100,NA
"286",2019-11-27,"ROL","Romanian Leu",100,NA
"287",2019-11-27,"RON","Romanian New Leu",1,70.28
"288",2019-11-27,"RSD","Serbian Dinar",1,2.86
"289",2019-11-27,"RUB","Russian Rubel",1,4.77
"290",2019-11-27,"SDP","Sudanese pound",1,NA
"291",2019-11-27,"SEK","Swedish Krona",1,31.81
"292",2019-11-27,"SGD","Singapore Dollar",1,223.34
"293",2019-11-27,"SIT","Slovenian Tolar",1,NA
"294",2019-11-27,"SKK","Slovak Koruna",1,NA
"295",2019-11-27,"SUR","New Ruble",100,NA
"296",2019-11-27,"THB","Thai Baht",1,10.09
"297",2019-11-27,"TRY","Turkish Lira",1,52.99
"298",2019-11-27,"UAH","Ukrainian Hryvnia",1,12.72
"299",2019-11-27,"USD","US Dollar",1,305.1
"300",2019-11-27,"VND","Vietnamese Dong",100,NA
"301",2019-11-27,"XEU","ECU",1,NA
"302",2019-11-27,"XTR","Tr/Cl Ruble",1,NA
"303",2019-11-27,"YUD","Yugoslavian Dinar",1,NA
"304",2019-11-27,"ZAR","South African Rand",1,20.71
"305",2019-11-26,"ATS","Austrian Schilling",1,NA
"306",2019-11-26,"AUD","Australian Dollar",1,207.09
"307",2019-11-26,"AUP","Australian Pound",1,NA
"308",2019-11-26,"BEF","Belgian Franc",100,NA
"309",2019-11-26,"BGL","Bulgarian Lev",100,NA
"310",2019-11-26,"BGN","Bulgarian Lev",1,172.05
"311",2019-11-26,"BRL","Brazilian real",1,72.27
"312",2019-11-26,"CAD","Canadian Dollar",1,229.43
"313",2019-11-26,"CHF","Swiss Franc",1,306.26
"314",2019-11-26,"CNY","Chinese yuan renminbi",1,43.38
"315",2019-11-26,"CSD","Serbian Dinar",1,NA
"316",2019-11-26,"CSK","Czechoslovakian Koruna",100,NA
"317",2019-11-26,"CYN","Chinese yuan",100,NA
"318",2019-11-26,"CZK","Czech Koruna",1,13.19
"319",2019-11-26,"DDM","DDR Mark",100,NA
"320",2019-11-26,"DEM","Deutsche Mark",1,NA
"321",2019-11-26,"DKK","Danish Krone",1,45.03
"322",2019-11-26,"EEK","Estonian kroon",1,NA
"323",2019-11-26,"EGP","Egyptian Pound",1,NA
"324",2019-11-26,"ESP","Spanish Peseta",100,NA
"325",2019-11-26,"EUR","Euro",1,336.5
"326",2019-11-26,"FIM","Finnish Markka",1,NA
"327",2019-11-26,"FRF","French Franc",1,NA
"328",2019-11-26,"GBP","Pound Sterling",1,393.04
"329",2019-11-26,"GHP","Ghana Pound",1,NA
